,Organization Name,Founders,Founding Date,Closing Date,Industry,Funding,HQ Location,Employees,About/Description,Slug,Crunchbase Img
16,Thepssaini Services,Parkashjit Singh,09-Sep-20,31-Jan-21,"Advertising, marketing, music label, social entrepreneurship, social media marketing, web development",,"Mohali, Punjab, India",10-Jan,"Thepssaini Services Provide You YouTube Artist Channel, Distribute Your Music music, Release Your PR articles on top news website & more.",,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/hhfvgnftvnvnmxpu7yhj"
17,Groben IT Solutions,Dirk Groben,01-Oct-16,01-Mar-21,"Apps, consulting, cyber security, software",,"Frankfurt, Hessen, Germany",10-Jan,IT consulting with the highest possible quality and tailor-made software development.,,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1485824127/rbzkwfciifzwcn12c279.png"
18,Oneset,,2014,,"Apps, Fitness, Health Care, Sports, Video",25K,Great Lakes,10-Jan,A community app that shares workout ideas through 15 second videos.,,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1426592069/syqzdygs9u5b3jfbowrs.png"
19,Singspiel,"Arian Rahbari, Ivan Cheung",12-Jan-13,,"Education, Internet, Mobile, Music ",428.3K,Great Lakes,10-Jan,"Singspiel is an incredibly easy way to learn music on your own and figure out if you're improving. It is like a virtual music teacher that provides you realtime feedback on how you play. Singspiel is the music learning equivalent for what Duolingo is for language learning. Using our product, Students can self-sufficiently develop their performance, aural and theory skills in music.",,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1397180402/c53d6ec8e312d9547f63f188349c48b5.jpg"
20,TerrAvion,"Cornell Wright, Robert Morris",2013,,"Agriculture, Developer Tools, Farming, Robotics",10M,"San Francisco Bay Area,  West Coast",11-50,TerrAvion Provides high revisit rate aerial imagery for agriculture.,,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1489824706/umgzl8quk4xlz705zo4n.png"
21,Rubica,,23-Mar-16,,"Cyber security, Employee Benefits, Mobile Devices, Network security, security, small and medium businesses, software",14.6M,"San Francisco Bay Area, West Coast",11-50,Advanced cybersecurity for remote workers & mixed-use device environments. Threat detection & prevention built for ease-of-use.,,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1494484449/badwblsljsitg9ibqczw.png"
22,Lumened,Ryan McCartney,2019,,Education,30K,Great Lakes,10-Jan,"LumenEd is an online tutoring and education company. We help tutoring companies calm the chaos and increase access to high quality learning.
",,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/zcdj0rmxjcu8qae15s8n"
23,Starsky Robotics,"kartik Tiwari, Stefan Seltz-Axmacher",19-Mar-20,,"Autonomous vehicles, robotics, transportation",20.3M,"San Francisco Bay Area, West Coast",,Starsky Robotics is a San Francisco-based autonomous trucking company.,,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1489888603/bnkyrog3qj6keucwkiau.png"
24,ubiome,"Jessica Richman, Zachary Apte",01-Nov-12,,"Fitness, Genetics, Health care, wellness",109.9M,"San Francisco Bay Area, West Coast",101-250,uBiome is a provider of public access to DNA sequencing technology to understand the microbiome.,,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/vm3m2ox24aohoxv3uulw"
25,DAQRI,"Brian Mullins, Gaia Dempsey, Philip Tolk",2010,,"Augmented Reality, enterprise software, hardware, internet of things, wearables",275M,"Greater Los Angeles area, west coast",101-250,DAQRI is professional-grade AR. We build the AR platform that empowers you solve the most meaningful problems.,,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1456941622/uvdcovzolmntig24k1v1.jpg"
26,WorldVuze,,2012,,Education,,"Can, Cabakkale, Turkey",11-50,"WorldVUZE is a tool for teachers to help their students learn what other students around the world are thinking about any topic, place, or event, any time. Acting as a 'living database' of student questions and perspectives, teachers can use WorldVUZE to bring first-hand relevance to any K-12 curriculum subject.",,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1397195037/0f47468f1124636641be5debf9a19174.jpg"
27,Oryx Vision,Rani Wellingstein,2009,25-Aug-19,"Automotive, autonomous vehicles, computer vision, robotics, semiconductor",67M,"Petah Tiqva, HaMerkaz, Israel",11-50,"Oryx Vision develops solid state depth vision solutions for autonomous vehicles.
",,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1472643352/o6xs4we3emuywiombdiv.png"
28,homepolish,"Noa Santos, Will Nathan",2012,,"Home Decor, home renovation, interiori design",17M,"Greater New York Area, East Coast, Northeastern US",11-50,"Homepolish brings savvy, expert interior designers - recruited from the top firms and schools in the country - right to your doorstep.",,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1408984828/cqyl4twrszq64reimjsl.png"
29,Panda TV,Sicong Wang,2015,,"Digital media, esports, media and entertainment, video, video games, video streaming",242.6M,Asia-Pacific (APAC),11-50,"Panda.tv is a website that provides user submitted videos in categories such as video games, fighting, and singing.",,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1474276442/u1s9u7p7uio6btqod8gc.png"
30,roadstar.ai,,2017,,"Artificial intelligence, autonomous vehicles, internet of things, machine learning, robotics",140M,Asia-Pacific (APAC),51-100,"Roadstar.ai empowers cars and trucks with artificial intelligence, so as to make transportation safer, more enjoyable, more efficient.",,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/ifrasbbkpsyc1j1gtqyg"
31,CloudMine,"Brendan McCorkle, Ilya Braude, Ilya Braude, Marc Weil",2011,2018,"Enterprise Software, Health Care, information technology, mobile",18.7M,"Greater Philadelphia Area, Great Lakes, Northeastern US",11-50,"CloudMine is a HIPAA compliant data enablement platform for healthcare, empowering users to operationalize their most sensitive data.
",,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1397201923/fb3238e1e509e8431312b4ab7f4ae7c3.png"
32,Driver Inc,"Petros Giannikopoulos, William Polkinghorn",May-15,2019,"health care, internet, marketplace",,"San Francisco Bay Area, West Coast, Western US",51-100,"Driver is a technology platform that connects people to treatments and knowledge, all over the world, to get more life.",,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/puwbpe2cezoyalsyriah"
33,Path,"Dave Morin, Dustin Mierau, Shawn Fanning",01-Nov-10,2018,"messaging, mobile, photo sharing",66.2M,"San Francisco Bay Area, West Coast, Western US",51-100,Path is a mobile photo-sharing and messaging service for building personal social networks with up to 150 contacts.,,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1497310966/fvdkzi1e2rma1xhtns36.png"
34,CareSync,Travis Bond,01-Oct-11,,"Health care, information technology, mHealth, software",49M,"Tampa Bay Area, East Coast, Southern US",251-500,CareSync is the leading provider of software and services for chronic disease management.,,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1413945893/ih7vhxeqmmr3zf7hnkgs.png"
35,Trendr,"George Stamatis, Michael Beddows, Peter Davison",2012,2016,"Events, messaging, mobile, private social networking, professional networking ",110K,"Montréal, Quebec, Canada",11-50,"Discover, chat, and meet with members of your professional groups. Reconnect, stay in touch, and nurture your relationships - because where you are in five years depends on who you meet today.",,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1397181599/83613313a51a275cba8d4c01232293e1.png"
36,Bunch,"Andrew Sider, Hesam Hosseini",2011,2014,"social news, web hosting ",1.6M,"Montréal, Quebec, Canada",11-50,Bunch is a new topic-based network where members can publish and engage around topic they are passionate about with people who feel the same way. The vision of the company is to bring depth to social media by connecting people passionate about a topic and by building the first discussion platform for the average Internet user.,,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1397184227/5187c95b18ec3f65fd1797fcbb9fe283.png"
37,Infonaut Inc.,,01-Jan-06,2020,"health care, ",250K,"Toronto, Ontario, Canada",11-50,"Infonaut Inc. offers infection prevention and control, clinical risk awareness, and behavior and culture improvement services.",,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1447926180/zgp5s2u8owgylkbyfbjo.png"
38,NorthLabs,"Daniel Alksnis, Dylan Lenz, John van der Woude",01-Dec-14,31-Oct-15,"Machine Learning, Urban Planning, Real Estate  ",100K,"Toronto, Ontario, Canada",10-Jan,"North Labs is an R&D firm focused on pattern recognition and machine learning for urban planning, real estate, finance, and consumer retail.",,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/ogigflm5ilcp1yx2f2qz"
39,OMsignal,"Frederic Chanay, Stephane Marceau",2011,2019,"biometrics, hardware, health care",24.3M,"Montréal, Quebec, Canada",11-50,Omsignal manufactures bio-sensing clothing that connects to iPhones and iPads in real-time.,,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/he1vcyeq96eyzkn6wpc7"
40,Shoebox,"Kalu Kalu, Steve Cosman",01-Mar-12,02-Jun-19,"online portals, photo sharing, photography",1.2M,"Toronto, Ontario, Canada",10-Jan,Shoebox is a service that provides unlimited online photo backups.,,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1450235243/pbeymnmladhbuiajxt91.png"
41,NURL,Shauna O'Flaherty,01-Jul-19,,"AI, fintech, insurance, machine learning, security, smart cities, telecommunications, transportations",,"Toronto, Ontario, Canada",,"NURL develops proprietary AI models to improve efficiency, safety, and financial returns for smart cities, telecom, mobility, and security.",,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/xt6x1i3fgqu3btvkf6u9"
42,The Shelf,,01-Dec-09,,"e-commerce, eduction, university  ",300K,"montréal, Quebec, Canada",10-Jan,The Shelf is a social textbook exchange that makes it easier to find books being sold locally at school and by friends.,,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1397200347/20a3d1647bbb172059b0e318472fa605.png"
43,Benchwork,Kathleen Chan,2019,2020,"fashion, manufacturing, SaaS",110.9K,"Toronto, Ontario, Canada",10-Jan,On-demand fashion production in a matter of clicks not months,,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/xnltjiysdw07n6eejs7e"
44,Maverix Private Equity,John Ruffolo,01-Jan-19,13-Apr-21,financial services,,"Toronto, Ontario, Canada",11-50,Maverix Private Equity is a private equity firm focused on technology-enabled growth and disruption.,,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/jfjjmwst734edgbnpreq"
45,Blockchainova,Rob Toth,Nov-18,May-19,"analytics, blockchain, digital media",,"Toronto, Ontario, Canada",,"Blockchainova provides 2 solutions to the professional, B2B, blockchain market -- serving primarily enterprise, government, institutions and blockchain startups",,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/u2aiioctkt1azm1fo8zx"
46,Akoha,"Alex Eberts, Austin Hill",01-Dec-06,14-Aug-11,"gaming, internet, social ",1.9M,"Montréal, Quebec, Canada",10-Jan,Akoha is a Montreal based developer of a new type of online / offline social multiplayer game. Their website explains the concept using a series of comics.,,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1397184338/3688fb1059ab38f6462de6a8a4bed118.png"
47,Axentra,"Eric Lefebvre, Marc-Antoine Benglia",28-May-99,2014,"digital media, information technology, robotics, software ",6M,"Ottawa, Ontario, Canada",11-50,Axentra develops a Linux-based digital media software platform and an applications suite.,,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1503040977/za4ixb74l1otdg2ir9iz.png"
48,YBuy,,26-Mar-18,2019,"e-commerce, marketplace, rental",,"Edmonton, Alberta, Canada",10-Jan,"aggregates the recreational equipment market, facilitating the interaction and connection of owners and renters",,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1397199747/5f3afd6707089fbf52a4d3c2c24b3090.png"
49,adsClimb,,01-Jul-17,May-19,"advertising, consulting",,"Vancouver, British Columbia, Canada",,adsClimb is a digital marketing agency that specializes in interactive ads content creation and marketing strategy consulting.,,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1504320331/kmndlgrkfexh5gstidiu.jpg"
50,Go99,"Devlin Fenton, Nigel Bester",01-Nov-16,19-Mar-19,"logistics, mobile apps, shipping, supply chain management, transportation",,"North Vancouver, British Columbia, Canada",11-50,On-demand Freight Matching; connecting truckers directly to shippers for increased transparency and efficiency,,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/ywxruepmljmdtpdhtut7"
51,EMPOWER,"Akash Sidhu, Amal Naufer, Joseph Truong, Vasiliki Belegrinis",Oct-16,Apr-18,"internet, social entrepreneurship, telecommunications",100K,"Toronto, Ontario, Canada",10-Jan,"Empower provides emerging markets with reliable, fast, and affordable access to content on the internet – without the need of mobile data.",,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/o8kklg51timc5zpxbaw7"
52,Sonn Beverage Systems,"Denis Loundry, Glen Poss",06-Sep-16,01-Jun-17,"coffee, food and beverage, smart home",,"Vancouver, British Columbia, Canada",10-Jan,"Sonn is a smart home appliance that tailors coffee, tea, wine, and spirits using proprietary sonic technology to make beverages.",,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1470503605/ggk6i4myl75a4v3xiaxo.png"
53,Paros,,Aug-16,,"apps, communication, IT, messaging, location based services",,"Waterloo, Ontario, Canada",,The first social networking platform to connect you with local knowledge,,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1484241156/zh3izyfvm5q4clad0oqo.png"
54,Chill Telecom,Roger Grekos,Jun-16,May-18,telecommunications,14.1M,"Kitchener, Ontario, Canada",11-50,Canada's Newest Network Our Mission to give affordable Price-Locked Unlimited Wireless plans - Contract Free to Everyone,,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1465832088/xliwobdez3nl7ufpqr6l.png"
55,Live Rides,"Pascal Hamel, Steven Lachance",10-Oct-10,04-Sep-13,"communities, ride sharing, market place ",27K,"Montréal, Quebec, Canada",10-Jan,Live Rides is a community marketplace for rides that turns long drives into social experiences.,,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1397199526/de336da5dcf9d49d9b9330d9a078cadc.png"
56,Hytle,Leonardo Lenz,01-Apr-09,01-Jul-13,"education, software ",25K,"Toronto, Ontario, Canada",10-Jan,"Hytle gathers educational content that can be produced, edited, published, made available, and marketed by individuals and companies.",,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1397189136/84f58c4a334446d48b902171737ef47e.jpg"
57,Wantoo,,2015,,"apps, internet, software ",500K,"Vancouver, British Columbia, Canada",10-Jan,"Wantoo offers a cloud-based platform that enables businesses to capture, analyze, and act on feedback provided by their team or customers.",,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1447131751/irkbwhc9irsjn9xssgur.png"
58,Sprouter,Sarah Prevette,12-Aug-09,2011,"collaboration, SMB (small and medium buisnesses) ",,"Toronto, Ontario, Canada",10-Jan,Sprouter is an online platform allowing small business entrepreneurs to get curated answers for their questions.,,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1397201834/b25f24caa6171dfbefafabf9c2242fd4.jpg"
59,Bamza,,01-Mar-11,,education,,"Montréal, Quebec, Canada",11-50,Bamza is a social Website that connects people who are looking for local classes and lessons with those who have the passion and expertise to offer a great learning experience.,,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1397200998/57ce584f6dccc07a27ea78feb2b3596e.jpg"
60,IVYGOOD,"Kevin Tung Nguyen, Phuong Pheebs Nguyen",2013,,"E-commerce platforms, lifestyle, wholesale",70K,"Ottawa, Ontario, Canada",10-Jan,IVYGOOD is a transformative lifestyle platform that offer a seamless and secure way for member-only small and medium retailers.,,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1418104950/shhuzqyv9q8jjgphmnas.jpg"
61,Herd Wisdom,Paul Blanchard,17-May-11,2016,"apps, career planning, gamification, human resources, mobile, software",,"Montréal, Quebec, Canada",11-50,The Complete & Sustainable Employee Engagement Platform,,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1426685299/gguxv0frlqvhscjitibj.png"
62,Inkdit,Gregg Oldring,02-Nov-10,30-Jun-17,"document management, internet, legal, SaaS",,"Edmonton, Alberta, Canada",10-Jan,Inkdit offers tools that enable businesses to manage and sign contracts through their web sites.,,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1444247074/xkwsiyztyfle7oppjoaa.png"
63,Plumlytics,,18-May-16,Aug-20,"advertising, analytics, artificial intelligence, internet, SaaS, software",,"Toronto, Ontario, Canada",10-Jan,Plumlytics Social is a software as a service (SaaS) social media marketing platform built by Plumlytics Inc. We create and market Artificial Intelligence infused marketing technology solutions.,,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1416479796/mygcp9eukj2ko4shdlht.png"
64,EverySlide,,01-Mar-14,,"presentations, software",,"Waterloo, Ontario, Canada",11-50,"online presentation tool synchronizing slideshow across all connected devices. Just upload your PowerPoint and press present. You will be given a unique url, which anybody with a browser can use.",,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1397199943/9a8661a422b73613792578970d3915a6.png"
65,Company ID,"Kumar Erramilli, Raad Alkhateeb",24-May-12,20-Jul-14,"B2B, CMR, E-commerce, search engine",,"Toronto, Ontario, Canada",10-Jan,CompanyID was a patented Auto Categorization algorithm based on HS and NAICS codes of imports and exporting goods.,,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1397196531/d9a1d37bc390168c6dee38d709bb2799.jpg"
66,ESL Explorer,,2010,2014,education,,"Vancouver, British Columbia, Canada",10-Jan,ESL Explorer is the website where the students can compare and buy the English language courses around the world.,,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1397188101/eb125d84bcc62e877f13b4a39e4323e5.png"
67,Three Red Cubes,Alexey Adamsky,21-Jul-11,2013,"developer tools, software",,"Toronto, Ontario, Canada",10-Jan,Three Red Cubes Inc. is a Toronto-based digital multimedia company focused on innovation and value-creation.,,"https://res.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_1/v1397201806/38e07d10a2e39cde1d683c382b3a1634.png"
